Date,Competition,Comp_Code,Matchday,Home,Away,Home_Goals,Away_Goals,Team,Opponent,Venue,Buts_Pour,Buts_Contre,Resultat,Stage,Group
2025-10-29,Ligue 1,FL1,10,FC Lorient,Paris Saint-Germain FC,1,1,Paris Saint-Germain FC,FC Lorient,Away,1,1,D,REGULAR_SEASON,
2025-11-01,Ligue 1,FL1,11,Paris Saint-Germain FC,OGC Nice,1,0,Paris Saint-Germain FC,OGC Nice,Home,1,0,W,REGULAR_SEASON,
2025-11-04,Champions League,CL,4,Paris Saint-Germain FC,FC Bayern München,1,2,Paris Saint-Germain FC,FC Bayern München,Home,1,2,L,LEAGUE_STAGE,
2025-11-09,Ligue 1,FL1,12,Olympique Lyonnais,Paris Saint-Germain FC,2,3,Paris Saint-Germain FC,Olympique Lyonnais,Away,3,2,W,REGULAR_SEASON,
2025-11-22,Ligue 1,FL1,13,Paris Saint-Germain FC,Le Havre AC,3,0,Paris Saint-Germain FC,Le Havre AC,Home,3,0,W,REGULAR_SEASON,
2025-11-26,Champions League,CL,5,Paris Saint-Germain FC,Tottenham Hotspur FC,5,3,Paris Saint-Germain FC,Tottenham Hotspur FC,Home,5,3,W,LEAGUE_STAGE,
2025-11-29,Ligue 1,FL1,14,AS Monaco FC,Paris Saint-Germain FC,1,0,Paris Saint-Germain FC,AS Monaco FC,Away,0,1,L,REGULAR_SEASON,
2025-12-06,Ligue 1,FL1,15,Paris Saint-Germain FC,Stade Rennais FC 1901,5,0,Paris Saint-Germain FC,Stade Rennais FC 1901,Home,5,0,W,REGULAR_SEASON,
2025-12-10,Champions League,CL,6,Athletic Club,Paris Saint-Germain FC,0,0,Paris Saint-Germain FC,Athletic Club,Away,0,0,D,LEAGUE_STAGE,
2025-12-13,Ligue 1,FL1,16,FC Metz,Paris Saint-Germain FC,2,3,Paris Saint-Germain FC,FC Metz,Away,3,2,W,REGULAR_SEASON,
2026-01-04,Ligue 1,FL1,17,Paris Saint-Germain FC,Paris FC,2,1,Paris Saint-Germain FC,Paris FC,Home,2,1,W,REGULAR_SEASON,
2026-01-16,Ligue 1,FL1,18,Paris Saint-Germain FC,Lille OSC,3,0,Paris Saint-Germain FC,Lille OSC,Home,3,0,W,REGULAR_SEASON,
2026-01-20,Champions League,CL,7,Sporting Clube de Portugal,Paris Saint-Germain FC,2,1,Paris Saint-Germain FC,Sporting Clube de Portugal,Away,1,2,L,LEAGUE_STAGE,
2026-01-23,Ligue 1,FL1,19,AJ Auxerre,Paris Saint-Germain FC,0,1,Paris Saint-Germain FC,AJ Auxerre,Away,1,0,W,REGULAR_SEASON,
2026-01-28,Champions League,CL,8,Paris Saint-Germain FC,Newcastle United FC,1,1,Paris Saint-Germain FC,Newcastle United FC,Home,1,1,D,LEAGUE_STAGE,
2026-02-01,Ligue 1,FL1,20,RC Strasbourg Alsace,Paris Saint-Germain FC,1,2,Paris Saint-Germain FC,RC Strasbourg Alsace,Away,2,1,W,REGULAR_SEASON,
2026-02-08,Ligue 1,FL1,21,Paris Saint-Germain FC,Olympique de Marseille,5,0,Paris Saint-Germain FC,Olympique de Marseille,Home,5,0,W,REGULAR_SEASON,
2026-02-13,Ligue 1,FL1,22,Stade Rennais FC 1901,Paris Saint-Germain FC,3,1,Paris Saint-Germain FC,Stade Rennais FC 1901,Away,1,3,L,REGULAR_SEASON,
2026-02-17,Champions League,CL,1,AS Monaco FC,Paris Saint-Germain FC,2,3,Paris Saint-Germain FC,AS Monaco FC,Away,3,2,W,PLAYOFFS,
2026-02-21,Ligue 1,FL1,23,Paris Saint-Germain FC,FC Metz,3,0,Paris Saint-Germain FC,FC Metz,Home,3,0,W,REGULAR_SEASON,
2026-02-25,Champions League,CL,2,Paris Saint-Germain FC,AS Monaco FC,2,2,Paris Saint-Germain FC,AS Monaco FC,Home,2,2,D,PLAYOFFS,
2026-02-28,Ligue 1,FL1,24,Le Havre AC,Paris Saint-Germain FC,0,1,Paris Saint-Germain FC,Le Havre AC,Away,1,0,W,REGULAR_SEASON,
2026-03-06,Ligue 1,FL1,25,Paris Saint-Germain FC,AS Monaco FC,1,3,Paris Saint-Germain FC,AS Monaco FC,Home,1,3,L,REGULAR_SEASON,
2026-03-11,Champions League,CL,1,Paris Saint-Germain FC,Chelsea FC,5,2,Paris Saint-Germain FC,Chelsea FC,Home,5,2,W,LAST_16,
2026-03-17,Champions League,CL,2,Chelsea FC,Paris Saint-Germain FC,0,3,Paris Saint-Germain FC,Chelsea FC,Away,3,0,W,LAST_16,
2026-03-21,Ligue 1,FL1,27,OGC Nice,Paris Saint-Germain FC,0,4,Paris Saint-Germain FC,OGC Nice,Away,4,0,W,REGULAR_SEASON,
2026-04-03,Ligue 1,FL1,28,Paris Saint-Germain FC,Toulouse FC,3,1,Paris Saint-Germain FC,Toulouse FC,Home,3,1,W,REGULAR_SEASON,
2026-04-08,Champions League,CL,1,Paris Saint-Germain FC,Liverpool FC,2,0,Paris Saint-Germain FC,Liverpool FC,Home,2,0,W,QUARTER_FINALS,
2026-04-14,Champions League,CL,2,Liverpool FC,Paris Saint-Germain FC,0,2,Paris Saint-Germain FC,Liverpool FC,Away,2,0,W,QUARTER_FINALS,
2026-04-19,Ligue 1,FL1,30,Paris Saint-Germain FC,Olympique Lyonnais,1,2,Paris Saint-Germain FC,Olympique Lyonnais,Home,1,2,L,REGULAR_SEASON,
2026-04-22,Ligue 1,FL1,26,Paris Saint-Germain FC,FC Nantes,3,0,Paris Saint-Germain FC,FC Nantes,Home,3,0,W,REGULAR_SEASON,
2026-04-25,Ligue 1,FL1,31,Angers SCO,Paris Saint-Germain FC,0,3,Paris Saint-Germain FC,Angers SCO,Away,3,0,W,REGULAR_SEASON,
2026-04-28,Champions League,CL,1,Paris Saint-Germain FC,FC Bayern München,5,4,Paris Saint-Germain FC,FC Bayern München,Home,5,4,W,SEMI_FINALS,
2026-05-02,Ligue 1,FL1,32,Paris Saint-Germain FC,FC Lorient,2,2,Paris Saint-Germain FC,FC Lorient,Home,2,2,D,REGULAR_SEASON,
2026-05-06,Champions League,CL,2,FC Bayern München,Paris Saint-Germain FC,1,1,Paris Saint-Germain FC,FC Bayern München,Away,1,1,D,SEMI_FINALS,
2026-05-10,Ligue 1,FL1,33,Paris Saint-Germain FC,Stade Brestois 29,1,0,Paris Saint-Germain FC,Stade Brestois 29,Home,1,0,W,REGULAR_SEASON,
2026-05-13,Ligue 1,FL1,29,Racing Club de Lens,Paris Saint-Germain FC,0,2,Paris Saint-Germain FC,Racing Club de Lens,Away,2,0,W,REGULAR_SEASON,
2026-05-17,Ligue 1,FL1,34,Paris FC,Paris Saint-Germain FC,2,1,Paris Saint-Germain FC,Paris FC,Away,1,2,L,REGULAR_SEASON,
